ID;City;Place names;Place names;Latitude;Longitude;A;C;E;H;N;R;SP;S   H;B;L
218;Muthanna;Park Teachers District;„ ‰“Â ÕÌ «·„⁄·„Ì‰;31.313716;45.274062;;;;;1;;1;;;1
219;Muthanna;The Archaeological Temple of Carius;„⁄»œ ﬂ«—ÌÊ” «·√À—Ì;29.913317;45.299386;;1;;;;;;;;
220;Muthanna;Orok Castle;ﬁ·⁄… √Ê—Êﬂ;31.318839;45.280618;;1;;;;;;;;
221;Muthanna;Lake of Sawa;»ÕÌ—… ”«Ê…;31.314255;45.006995;1;1;1;;1;;;;;1
222;Maysan;Maysan Marshlands;«ÂÊ«— „Ì”«‰;30.766667;47.05;;1;1;;1;;;;;1
223;Maysan;Zoo and Park of Omaraa;ÕœÌﬁ… ÕÌÊ«‰«  Ê „ ‰“Â «·⁄„«—…;31.859256;47.143772;;;1;;1;;1;;;1
224;Maysan;Boat Park;„ ‰“Â «·“Ê«—ﬁ;31.846736;47.159655;;;1;;1;;1;;;1
225;Maysan;The entertainment city of Maysan;«·„œÌ‰… «· —›ÌÂÌ… ›Ì „Ì”«‰;31.84191;47.16038;;;1;;1;;1;;;1
226;Maysan;Great Architecture Market;”Êﬁ «·⁄„«—… «·ﬂ»Ì—;31.848654;47.151196;;1;;;;;;1;1;
227;Wasit;Damok Park;„ ‰“Â œ«„Êﬂ;32.532052;45.818825;;;1;;1;;1;;;1
228;Wasit;Historic City of Wasit;„œÌ‰… Ê«”ÿ «· «—ÌŒÌ…;32.602409;45.752098;;1;;;;;;;;
229;Wasit;Corniche El Kout;ﬂÊ—‰Ì‘ «·ﬂÊ ;32.506066;45.812689;;;;;1;;1;;;1
230;Wasit;Grand Mosque of Kut;Ã«„⁄ «·ﬂÊ  «·ﬂ»Ì—;32.493208;45.828086;;1;;;;1;;;;
231;Wasit;Al Rihana Park;„ ‰“Â «·—ÌÕ«‰…;32.503519;45.816722;;;;;1;;1;;;1
232;Wasit;Heritage Market;”Êﬁ «· —«À;32.498669;45.828609;;1;;;;;;1;1;
A: Adventure, C: Culture, E: Environmental, H: Health, N: Nature, R: Religious, SP: SPort, SH: SHopping, B: Business, L: leisure;;;;;;;;;;;;;;;
